"title","value","type"
"Hearon & co",,"n"
"Heathfield & Burgess",,"n"
"Heffer",,"n"
"Heidenreich",,"n"
"Heinhold, Mr.",,"n"
"Hellier and Wills",,"n"
"Helps",,"n"
"[Hen]hart",,"n"
"Hendrie, Robert",,"n"
"Henley",,"n"
"Hennel & Crossby",,"n"
"Henry",,"n"
"Henshaw, J. H.",,"n"
"Herbest, Baron F.P. ",,"n"
"Hermann",,"n"
"Heroult",,"n"
"Hessel, Friedrich",,"n"
"Heuer & Procell",,"n"
"HGN",,"n"
"Higginbotham & Hayward",,"n"
"Higgs, William",,"n"
"High, Adam",,"n"
"Highton, Mr. Edward",,"n"
"Hilder, Miss",,"n"
"Hill of Deptford",,"n"
"Hill & Son",,"n"
"Hillier & Co, Bristol",,"n"
"Hills",,"n"
"Hillyard",,"n"
"Hinks",,"n"
"Hlk",,"n"
"Hoare, Henry",,"n"
"Hodge & Bartley's",,"n"
"Hodge, P R., Esq.",,"n"
"Hodges",,"n"
"Hodgkinson's",,"n"
"Hodgson, Druggist, Leicester",,"n"
"Hofmann, Dr",,"n"
"Hofmann, Prof.",,"n"
"Hogg",,"n"
"Holden, R & Son",,"n"
"Holliday",,"n"
"Hollingsworth",,"n"
"Hollingwalter[?}",,"n"
"Hollingwalter [?]",,"n"
"Hollingworth",,"n"
"Hollingworth, Maidstone",,"n"
"Holman Hunt, W., Esq",,"n"
"Holmes Esq., W.",,"n"
"Holmes, Mess; H & A",,"n"
"Holsworth, F. F., architect",,"n"
"Homberg",,"n"
"Homer",,"n"
"Homersham, Mr. W C",,"n"
"Hooge, Mr.",,"n"
"Hooper",,"n"
"Hopkins",,"n"
"Hopkins & Purves",,"n"
"Hoppers",,"n"
"Hornblower & Lowe",,"n"
"House of Lords",,"n"
"Howard & Kent",,"n"
"Howards",,"n"
"Howards & Sons'",,"n"
"Howell",,"n"
"Howlett",,"n"
"Hoyle, Robson &Co., Newcastle uon Tyne",,"n"
"HRH Prince Albert",,"n"
"Hubbard, B, Esq.",,"n"
"Hubbock & Son",,"n"
"Hubbuch & Sons",,"n"
"Hughes",,"n"
"Hulett & Co",,"n"
"Hulme, Mr",,"n"
"Hume",,"n"
"Hummerston",,"n"
"Humphreys",,"n"
"Humphris",,"n"
"Hunstone",,"n"
"Hunt, Mr",,"n"
"Hunt, Robert",,"n"
"Hunt, W. Esq.",,"n"
"Huntley, Mr",,"n"
"Hunts' J J",,"n"
"Hunts', Messrs",,"n"
"Hurlet & Campin Company",,"n"
"Hurrell",,"n"
"Hushisson",,"n"
"Husk",,"n"
"Huskinsson's",,"n"
"Hutchinson",,"n"
"I?s",,"n"
"[Iams]",,"n"
"Inadane Cenette",,"n"
"Inglefield, H. C.",,"n"
"Isaac Trow & Court",,"n"
"Iver Mr",,"n"
"Ives",,"n"
"J & Co.",,"n"
"J & J Sheppard",,"n"
"Jackson",,"n"
"Jacobs",,"n"
"Jenn, Mr W W",,"n"
"Jenner",,"n"
"Jeukes",,"n"
"John, Dr.",,"n"
"Johns",,"n"
"Johnson, Edward",,"n"
"Johnson, Mr",,"n"
"Johnson, W & Sons",,"n"
"Jones",,"n"
"Jones & Co",,"n"
"Joseph Lane & Sons",,"n"
"Judds",,"n"
"Judds?",,"n"
"Julien",,"n"
"K J",,"n"
"K T",,"n"
"Kaffreinzue Freres",,"n"
"Kane, mr.",,"n"
"Kean & Welsh",,"n"
"Keating",,"n"
"Kebbel &Co.",,"n"
"Kelso, Birm'm",,"n"
"Kemp, Charles",,"n"
"Kempson",,"n"
"Kent, Mr.",,"n"
"Kershaw, Mr",,"n"
"Kerslake, bookseller",,"n"
"Key & Co. Lead Island Lead Works",,"n"
"Kinder, Avery Row Grosvenor Sq.",,"n"
"King, Mr J R",,"n"
"Kingdon Blackfriars Rd",,"n"
"Kingsley, Mr, ?of Lid: Coll:?",,"n"
"Kirk, R.",,"n"
"Kirkman, Mr.",,"n"
"Klamroth",,"n"
"Klaproth",,"n"
"Kleinmann & Gal",,"n"
"Knights",,"n"
"Knights Oyster Shop",,"n"
"Knott (publisher)",,"n"
"Knowlden",,"n"
"Knowles, Sir Francis",,"n"
"Koniah",,"n"
"Kreal, C.",,"n"
"Kuhlemann",,"n"
"Kyan",,"n"
"L",,"n"
"L B [L Berger?]",,"n"
"L. Berger & Sons",,"n"
"L., Mr.",,"n"
"Laidler",,"n"
"Laird",,"n"
"Lamb",,"n"
"Lamb Colville & Co., Cambleton (Whisky)",,"n"
"Lancaster",,"n"
"Lane",,"n"
"Langley & Souther",,"n"
"Larkins",,"n"
"[Larpents], Sir George",,"n"
"Lasilles?",,"n"
"Lauder, R.",,"n"
"Laurence",,"n"
"Lawday",,"n"
"Lawrence",,"n"
"Lawrie, W.",,"n"
"Laxton",,"n"
"Lay",,"n"
"Laycock, Sam, & Sons",,"n"
"Layers, L.",,"n"
"Lazarus",,"n"
"LB [L Berger?]",,"n"
"Le Miere",,"n"
"Leach & Neal, Derby",,"n"
"Lediard",,"n"
"Lediard? & Co",,"n"
"Ledman, Mr.",,"n"
"Leech, 30 Dichenson St out of Cooke St",,"n"
"Leech & Neal, Derby",,"n"
"Leeney",,"n"
"Lees",,"n"
"Lefevre",,"n"
"Lefranc, A., Paris",,"n"
"Leggett, Miss",,"n"
"Leighton Brothers",,"n"
"Leslie, C. R., Esq.",,"n"
"Lethbridge & Mackrell",,"n"
"Lever[?]",,"n"
"Leverette",,"n"
"Levy",,"n"
"Lewis",,"n"
"Lewis, Arthur",,"n"
"Lewis, G, Esq.",,"n"
"Lichfield?s",,"n"
"Liddiards",,"n"
"Liebig",,"n"
"Lilley & Son",,"n"
"Lindorff",,"n"
"Linnell & Co",,"n"
"Liseman",,"n"
"Lister, J[?]",,"n"
"Llewellyn",,"n"
"Lloyd",,"n"
"Lloyd & Co.",,"n"
"Lloyds",,"n"
"Lock Blacket & Co., Newcastle on Tyne (Gallowgate)",,"n"
"Long",,"n"
"Lorani [?]",,"n"
"Lovar[...]",,"n"
"Lovelace",,"n"
"Lovell",,"n"
"Low & Johnson",,"n"
"Lucas, David",,"n"
"Lully, Raymond",,"n"
"Lumsden & McIntyre",,"n"
"Lynch",,"n"
"Lynch & Inglis",,"n"
"M",,"n"
"M L V (the Steam Grinding Factory at Southwark)",,"n"
"M M Carr",,"n"
"Maberley's School",,"n"
"Macfarlane",,"n"
"Macintosh, Charles",,"n"
"Mackay, Mr.",,"n"
"Mackenzie & Co",,"n"
"Mackintosh [H]urlet & Campsic Works",,"n"
"Macks & Allen's",,"n"
"Maclintock, Mr.",,"n"
"Macmillan & Co",,"n"
"Macnee, Russell L",,"n"
"Maddy",,"n"
"Magnus",,"n"
"Magrath",,"n"
"Magrath, Edward",,"n"
"Magrath, John",,"n"
"Magues, Mr. Isidore",,"n"
"Makenzie, Mrs",,"n"
"Manchester Calico Minters",,"n"
"Mander's (Wolverhampton)",,"n"
"Mann",,"n"
"Manning",,"n"
"Manns",,"n"
"Maple",,"n"
"Markwright",,"n"
"Marriott",,"n"
"Marston",,"n"
"Martin, Mrs.",,"n"
"Marziale, Rev'd Theophilus",,"n"
"Matheson",,"n"
"Matterer, M.",,"n"
"Matthews",,"n"
"Maxwell, Mr",,"n"
"May & Baker Chemists",,"n"
"May & Medcalf",,"n"
"Maynard & Taverner",,"n"
"Mc Intosh",,"n"
"Mc Kingham",,"n"
"Mc Mill & Co, F.",,"n"
"Mc Neill & Co., F.",,"n"
"McCallam & Hodson",,"n"
"McCracken",,"n"
"McDougall",,"n"
"McGrath",,"n"
"Medlock, Dr",,"n"
"Meillet",,"n"
"Meining",,"n"
"Mellers &[?] Morris, Ward St, Birm'm",,"n"
"Mercer",,"n"
"Meredith",,"n"
"Merrett, R.",,"n"
"Merrick",,"n"
"Merrick & Davis",,"n"
"Merry Phipson & Parker, Birmingham",,"n"
"Methaen, Lord",,"n"
"Mich",,"n"
"Middleton",,"n"
"Midgley",,"n"
"Midgley?s",,"n"
"Miles, Bow Common",,"n"
"Miller",,"n"
"Miller's",,"n"
"Millman",,"n"
"Mills, Mrs. Aingel",,"n"
"Milne, Mr.",,"n"
"Mitchell",,"n"
"Mitchell, Mr",,"n"
"Mockford Ho",,"n"
"Moffatt, Dr.",,"n"
"Mokes, Charles",,"n"
"[Mole] & Half",,"n"
"Moller, John",,"n"
"Mongredin, Mr.",,"n"
"[monogram P1P001BL15]",,"n"
"Monro",,"n"
"Monson, Mr.",,"n"
"Moody, Mrs.",,"n"
"Moore, Mr. W. G.",,"n"
"Moore, W G, Mr",,"n"
"Mordan",,"n"
"Morel, Mr.",,"n"
"Morewood & Rogers",,"n"
"Morley, Mr",,"n"
"Morris and Gore",,"n"
"Morris, Dr F W",,"n"
"Morris, Mr.",,"n"
"Mortimer",,"n"
"Morton",,"n"
"Morveau",,"n"
"Moseley, R [?]",,"n"
"Moss",,"n"
"Mossman",,"n"
"Mountscher, Mr. Frederick",,"n"
"Mowbray, G M",,"n"
"Moxon",,"n"
"Mr B_W [?]",,"n"
"Mr. Newton",,"n"
"Muller",,"n"
"Mulready",,"n"
"Munro",,"n"
"Murphy Surgeon [?] of Birmingham",,"n"
"Murray",,"n"
"Murthwaite",,"n"
"Musketts",,"n"
"Muspratt",,"n"
"N and A K Johnstone",,"n"
"N., Mr",,"n"
"N & R",,"n"
"N&H",,"n"
"N&U",,"n"
"Nash",,"n"
"Nathan, Mr.",,"n"
"Naylor",,"n"
"Neale, Mrs C",,"n"
"Neals?",,"n"
"Neighbour & Son",,"n"
"Neills?",,"n"
"Nelson",,"n"
"Nelson, J",,"n"
"New River Coy's",,"n"
"Newberry",,"n"
"Newberry - Gold Paper Maker Hemlock Court. Carey St",,"n"
"Newman",,"n"
"Newton, Arthur Henry ",,"n"
"Newton, H.C.",,"n"
"Newton, Miss C.",,"n"
"Newton, Mr.",,"n"
"Nichols, J. P.",,"n"
"Nicholson, Mr",,"n"
"Nicholsons",,"n"
"Niells?",,"n"
"Niels?",,"n"
"Noble, Mr. J.",,"n"
"Nobles & Hoare",,"n"
"Nord, Henry M.",,"n"
"Norman, George Ward",,"n"
"Norman, Mr.",,"n"
"North",,"n"
"North & Wyde",,"n"
"Norton",,"n"
"Novells, Mr. J. Alfred",,"n"
"Nwalton & Wild [?]",,"n"
"O'Brian, J.",,"n"
"O'Neill",,"n"
"Observer",,"n"
"Old Smith",,"n"
"Oldfields, Mr.",,"n"
"Oliveri",,"n"
"Olivers, Isaac",,"n"
"Organ, John",,"n"
"OS",,"n"
"Oserman",,"n"
"Oughton",,"n"
"Overbury & Lambert",,"n"
"Oxland Chemist",,"n"
"P H & Co.",,"n"
"P.W.'s and Co.",,"n"
"P&H",,"n"
"Paches [?]",,"n"
"Pagenstechu, Mr.",,"n"
"Paine, Mr",,"n"
"Palmer",,"n"
"Papineau",,"n"
"Papins",,"n"
"Parkers",,"n"
"Parkinson, Mr",,"n"
"Parles",,"n"
"Parmiters [?]",,"n"
"Parsons",,"n"
"Partridge Hooper",,"n"
"Partridge, Mr. David",,"n"
"Patt[ley[ Edith St Hackney",,"n"
"Patten",,"n"
"Patterson, Mr.",,"n"
"Pattinson, Messrs",,"n"
"Paul",,"n"
"Pawley, Mr.",,"n"
"Payne",,"n"
"Peckham Rye Dairy",,"n"
"Peel's Coffee House",,"n"
"Pegal, M. J.",,"n"
"Pegg",,"n"
"Pegg & Davey, Old Barge House Yd, Blackfirars Bridge, Surrey side",,"n"
"Pegg & Harper",,"n"
"Pegg of Derby",,"n"
"Pellegrini Sneider of Rome",,"n"
"Pellet & Green",,"n"
"Penley, Aaron",,"n"
"Penley, Mr",,"n"
"Penney?s",,"n"
"Penot",,"n"
"Pepper, Profesor",,"n"
"Percy",,"n"
"Percy, Dr",,"n"
"Perkin, Mr. W. H.",,"n"
"Perkin, W H",,"n"
"Perkins",,"n"
"Perkins, W.H.",,"n"
"Peroz, Professor",,"n"
"Perrin",,"n"
"Phillips",,"n"
"Pichersgill [?], W. H.",,"n"
"Pidduck, Dr.",,"n"
"Piercy",,"n"
"Pilcher",,"n"
"Pilcher & Co",,"n"
"Piper & Co",,"n"
"Pitchford & Co., Stratford",,"n"
"Pittard, Mr.",,"n"
"Pointer?s",,"n"
"Pommayac",,"n"
"Ponsonby, Mr",,"n"
"Pontifec?s [?]",,"n"
"Pontigny, Mr. C V",,"n"
"Pontypool",,"n"
"Poole, P. J., Esq.",,"n"
"Porrett",,"n"
"Potter?s",,"n"
"Potts, Mr ",,"n"
"Poulletier de la Salle",,"n"
"Pouncy, Mr",,"n"
"Poutifex [?] + Wood's",,"n"
"Powell & Williams",,"n"
"Powis, James &Co",,"n"
"Pratt",,"n"
"Pratt & Sewell",,"n"
"Preston",,"n"
"Price?s",,"n"
"Prickett, H.",,"n"
"Prince, Mr.",,"n"
"Prince Patent Agent",,"n"
"Prinel[?], Warren St Camden Town",,"n"
"Proctor",,"n"
"Prosser, W",,"n"
"[Protherer], Evan",,"n"
"Prout",,"n"
"Puckridge, Frederick",,"n"
"Pugin, Augustus",,"n"
"Puillard [?], Paris",,"n"
"Pullar, Mr, of Perth",,"n"
"Purdue",,"n"
"Purdue, Mr G. & Mr. John (Purdue & Twiddy) [wholesale cheesemongers]",,"n"
"Purdue Robinsons Traveller",,"n"
"Pyne, J. B.",,"n"
"Quick",,"n"
"Quincey",,"n"
"R.L La[...]h, Leith",,"n"
"R & M",,"n"
"R P",,"n"
"R & W W",,"n"
"Radd, Mr.",,"n"
"Rae",,"n"
"[Rains/Rams] & Son",,"n"
"Ram",,"n"
"Ramsbottom",,"n"
"Rand",,"n"
"Randall",,"n"
"Ransom",,"n"
"Ransome",,"n"
"Raven, [J? S?] Esq",,"n"
"Raw, Mr.",,"n"
"Rawbothams",,"n"
"Rawlins, Mr. H",,"n"
"Rawson Backer & Co.",,"n"
"Rea?s",,"n"
"Reed",,"n"
"Rees",,"n"
"Reeve, J",,"n"
"Reeves",,"n"
"Refectory of Arts",,"n"
"Reid.",,"n"
"Reid, Dr",,"n"
"Rendell & Son, J.",,"n"
"Reuben",,"n"
"Ribblesdale",,"n"
"Rice Brothers Auctioneers",,"n"
"Richard, J.E.",,"n"
"Richards & Co, Birmingham",,"n"
"Richardson, J M",,"n"
"Richmond, Geo, Esq",,"n"
"Riddle, Dr",,"n"
"Rider, Mr.",,"n"
"Ridgeway, Mr.",,"n"
"Ridgway, Mr.",,"n"
"Riley, Edward",,"n"
"Rimbault, Mr.",,"n"
"Ripper & Burton",,"n"
"Robbins",,"n"
"Roberson",,"n"
"Roberson, Mr C",,"n"
"Roberts",,"n"
"Robertson",,"n"
"Robinson [?]",,"n"
"Robinson, Mr H.",,"n"
"Robiquet",,"n"
"Robotham, Mr. ",,"n"
"Robson",,"n"
"Rock & Son",,"n"
"Roe, James",,"n"
"Rogers",,"n"
"Romford",,"n"
"Rood, Mr.",,"n"
"Roper, Chas. R., Esq.",,"n"
"Rose, Mr. H.",,"n"
"Roskill",,"n"
"Ross",,"n"
"Ross, W.C.",,"n"
"Rosser, J Egan",,"n"
"Rothschild",,"n"
"Rothwell, R., Esq.",,"n"
"Rowbotham, Mr., Senior.",,"n"
"Rowney",,"n"
"Rowney & Co.",,"n"
"Rowsell, Mr.",,"n"
"Roy",,"n"
"Royal Saxon Blue Works",,"n"
"Royal Varnish for Boots",,"n"
"Rudd",,"n"
"Rudds",,"n"
"Rudduck, Mr",,"n"
"Rudge",,"n"
"Ruel in St Giles",,"n"
"Rumney, Robert",,"n"
"Ruskin",,"n"
"Russel and McNee",,"n"
"Russell, James & Sons",,"n"
"Russell & Robertson",,"n"
"Rust, Jesse",,"n"
"Rutowski, Miss",,"n"
"Ryan",,"n"
"S k b k",,"n"
"S Lay",,"n"
"S[p]ilsbury",,"n"
"Sadler",,"n"
"Salter",,"n"
"Samanda? Brothers Millwall",,"n"
"Samuel Turner & Co",,"n"
"Sandford, Mr",,"n"
"Savage, Mr",,"n"
"Savory & Moore's",,"n"
"Sch?tzenger",,"n"
"Schindler, Mr. Robert",,"n"
"Schisle Works Weymouth",,"n"
"Schlesinger",,"n"
"Schlumberger",,"n"
"Scholfield, Mr. C",,"n"
"Schunk",,"n"
"Scott, Cuthbertson & Co",,"n"
"Scott, Langston",,"n"
"Scrivener & White [builders]",,"n"
"Seacy",,"n"
"Seal, Mr.",,"n"
"Seale & Co",,"n"
"Seaton",,"n"
"[Serny]",,"n"
"Seyssel Company",,"n"
"Shannons",,"n"
"Sharman, Warren",,"n"
"Sharp",,"n"
"Sharp Brothers",,"n"
"Sharp Roberts & Co., Messr",,"n"
"Sheepshanks, Mr., Knightsbridge",,"n"
"Shelbeck, Mr.",,"n"
"Sheldon Birmingham",,"n"
"Sheppard[s?]",,"n"
"Sherborne?s",,"n"
"Sherlock, Mr.",,"n"
"Shilbeck, mr.",,"n"
"Shool (red) & Co",,"n"
"Silver & Co., J W",,"n"
"Simeon",,"n"
"Simmonds",,"n"
"Simons, M ",,"n"
"Simpson",,"n"
"Simpson March &Co",,"n"
"Sintzenich, Mr. G. E.",,"n"
"Sitterton",,"n"
"Skbk?",,"n"
"Skelton, Mr.",,"n"
"Skilbeck",,"n"
"Slater",,"n"
"Smart, Dr",,"n"
"Smart, Mr T. L.",,"n"
"Smeeton",,"n"
"Smith",,"n"
"Smith & Beck",,"n"
"Smith, C",,"n"
"Smith, John",,"n"
"Smith Lambeth",,"n"
"Smith, Mr., GIlder of Edinburgh",,"n"
"Smith, Travis",,"n"
"Smith & Warners",,"n"
"[some unclear name]",,"n"
"Soul, Eli",,"n"
"Sowden, Mr",,"n"
"Spaldings, Mr",,"n"
"Spence, Mr. P.",,"n"
"Spencer? Leicester",,"n"
"Spencer, Mr",,"n"
"Spencer Sawyer Bird & co, Messers",,"n"
"Spicer",,"n"
"Spottiswood",,"n"
"Spratt, mr. H W",,"n"
"Stack, Mr (of Glasgow)",,"n"
"Staines, Mr.",,"n"
"Stanley",,"n"
"Stansbury",,"n"
"Stark, Geo.",,"n"
"Steedhall",,"n"
"Steedman, C",,"n"
"Steiner, F.",,"n"
"Steinhoff, G.",,"n"
"Steinhouse",,"n"
"Stephens of Ma[rt]ock",,"n"
"Stephensons Pitts",,"n"
"Stevens",,"n"
"Steward Goswell",,"n"
"Stohmann & Wustenfeld",,"n"
"Stotz & Winter",,"n"
"Stromeyer, Prof",,"n"
"Strudwick, Mr.",,"n"
"Strutton, Miss",,"n"
"Stuart",,"n"
"Stuart & Port",,"n"
"Stubbs, G",,"n"
"Stubbs, H",,"n"
"Sturge & Company, James",,"n"
"Summers",,"n"
"Sutherland",,"n"
"Sutherland, Miss, Wales",,"n"
"Sutton Coldfield",,"n"
"Swaisland, Charles",,"n"
"Swan, Sarah (have entered this already I think?)",,"n"
"Swan's",,"n"
"Sy",,"n"
"Sydney",,"n"
"Sykes",,"n"
"Sylvester Smith, Mr.",,"n"
"Symonds",,"n"
"Szereling",,"n"
"[T]assemt",,"n"
"Tamplin",,"n"
"Tassell & Smith",,"n"
"Tatnall",,"n"
"Taylor",,"n"
"Taylor, Mr. Weld, in the Art Union",,"n"
"Tennants",,"n"
"Thenards",,"n"
"Theophilus, Mr.",,"n"
"Thilerica, M.",,"n"
"Tho[ma]s. (man)",,"n"
"Thomas Merry & Son",,"n"
"Thomas, Mr W",,"n"
"Thompson",,"n"
"Thomson",,"n"
"Thornley & Knight",,"n"
"Thornley?s",,"n"
"Thornson",,"n"
"Thorp, W. Tooley St.",,"n"
"Thrift, William",,"n"
"Thrupp",,"n"
"Thudichum, Dr.",,"n"
"Tilling Gilder",,"n"
"Times",,"n"
"Timke?s (?)",,"n"
"Tipper Wholesale",,"n"
"Tirnmon [?]",,"n"
"Tite, Mr.",,"n"
"Toleman, Goswell St.",,"n"
"Toleman, Mr.",,"n"
"Tomkins, Mark J.",,"n"
"Torr, George",,"n"
"Towgood",,"n"
"Treverton",,"n"
"Trimmer, [Syer?], Rev?d R",,"n"
"Truder",,"n"
"Trumble",,"n"
"Tubb",,"n"
"Tupper & Carr",,"n"
"Turnbull",,"n"
"Turner",,"n"
"Turner, B.B",,"n"
"Turner Blewett &Co",,"n"
"Turner, C",,"n"
"Turner, R",,"n"
"Tuson, E W A",,"n"
"Tuson, Mr. R V",,"n"
"Twopenny, Capt.",,"n"
"Tyler, John",,"n"
"Udall, Mr.",,"n"
"Unwin",,"n"
"Ure, Dr.",,"n"
"V de Walls",,"n"
"Vallentin, O.F.",,"n"
"Vallentine, Mr",,"n"
"Van de Wall",,"n"
"Vaughan, Mr.",,"n"
"Vauquelin",,"n"
"Veitch",,"n"
"Vielle Montaigne ",,"n"
"Vielle Montaigne (? co.?)",,"n"
"Vigers, Mr. F.",,"n"
"Vigers, [?] Mr Robert",,"n"
"von Herbert, F. P.",,"n"
"W",,"n"
"W C L",,"n"
"W & C Pugh",,"n"
"W Crawley",,"n"
"W Garrsee (?)",,"n"
"W?hler",,"n"
"W Morris, Chester",,"n"
"W., Mr",,"n"
"W W",,"n"
"W W, Mr",,"n"
"W&N",,"n"
"Wagha, Mr.",,"n"
"Wagner, Prof",,"n"
"Waitland",,"n"
"Wakefield",,"n"
"Walcott, Mr Geo",,"n"
"Walff[?]",,"n"
"Walker",,"n"
"Wallington, Mr",,"n"
"Wallis",,"n"
"Walsh, W.",,"n"
"Walton",,"n"
"Ward, Marcus",,"n"
"Warner",,"n"
"Warr, W & HS",,"n"
"Warren, H.",,"n"
"Warrick",,"n"
"Waterhouse Hawkins",,"n"
"Waterhouse Hopkins, Mr.",,"n"
"Watford Spring Water Co.",,"n"
"Watkins, Mr.",,"n"
"Watson & English Hull",,"n"
"Watson, N on Tyne",,"n"
"Watts, G.F.",,"n"
"Way",,"n"
"Weale, John",,"n"
"Weibel & Wilken",,"n"
"Weiss, J H",,"n"
"Wellman?s and Co.",,"n"
"Wellmans and Co.",,"n"
"Wells, Esq.",,"n"
"Wentworth",,"n"
"West, Ellen",,"n"
"West, Ellen, C.",,"n"
"West, Mr A",,"n"
"West, Mrs. Arthur",,"n"
"West, Mrs E.",,"n"
"Westcott, Mr., Liverpool",,"n"
"Whatman",,"n"
"Wheatley",,"n"
"Wheatstone, Prof",,"n"
"Whipple",,"n"
"White, J B & Son's",,"n"
"White & Parlby's",,"n"
"White's",,"n"
"Whitthread, Mr W",,"n"
"Widdicomb",,"n"
"Widdicombe",,"n"
"Wild, C.K.",,"n"
"Wilkens, near Bath",,"n"
"Wilkin, H.",,"n"
"Wilkinson",,"n"
"Wilkinson [?] & Haywood",,"n"
"Williams",,"n"
"Williams & Co.",,"n"
"Williams, Compton St Clerkenwell",,"n"
"Wilmot",,"n"
"Wilson",,"n"
"Wilson, Mr, G F",,"n"
"Wilson, Richard & Co.",,"n"
"Win[sor], Mr.",,"n"
"Winsland, Mr.",,"n"
"Winsor, Mr",,"n"
"Winsor, W.",,"n"
"Winthrupp, Robert W.",,"n"
"Withy, Mr. William",,"n"
"Wiyans",,"n"
"Wolff",,"n"
"Wood & Co.",,"n"
"Wood, Mr. C S",,"n"
"Woodford",,"n"
"Woodrington, Mrs.",,"n"
"Woollaston",,"n"
"Wormsley, Robert",,"n"
"Wright",,"n"
"Wynne, Mr.",,"n"
"Yates",,"n"
"Yates & Co",,"n"
"York",,"n"
"Young",,"n"
"Young, J., Ardwick Chemical Works",,"n"
"Younger, Mrs",,"n"
"Youngman",,"n"
"Zovani, Battisti",,"n"
"Ackermann, R.",,"ns"
"Berger, L.","Berger","ns"
"Chambers",,"ns"
"Eastlake, Mr.",,"ns"
"Eynsham Paper Mills",,"ns"
"Field, G.","Field","ns"
"Holman Hunt, W., Esq",,"ns"
"HRH Prince Albert",,"ns"
"Mr. Newton","Newton, H.C.|H C N|N., Mr","ns"
"Newton",,"ns"
"Newton, Arthur Henry ","Newton, Arthur Henry|A. H. N.","ns"
"Newton, Miss C.",,"ns"
"Perkin, W.H.","Perkin","ns"
"W&#38;N","Winsor &#38; Newton|W&#38;N|W&amp;N|Winsor &amp; Newton","ns"
"Watts, G.F.",,"ns"
"Winsor, W.","Winsor|Win[sor]|W., Mr","ns"
"19","19","b"
"18","18","b"
"17","17","b"
"16","16","b"
"15","15","b"
"14","14","b"
"13","13","b"
"12","12","b"
"11","11","b"
"10","10","b"
"09","9","b"
"08","8","b"
"07","7","b"
"06","6","b"
"05","5","b"
"04","4","b"
"03","3","b"
"02","2","b"
"01","1","b"
"20","20","b"
"21","21","b"
"22","22","b"
"23","23","b"
"24","24","b"
"25","25","b"
"26","26","b"
"27","27","b"
"28","28","b"
"29","29","b"
"RE","RE","b"
"PM","PM","b"
"P8","P8","b"
"P4","P4","b"
"P3","P3","b"
"P2","P2","b"
"P1","P1","b"
"OG","OG","b"
"MA","MA","b"
"KT","KT","b"
"IN","IN","b"
"HS","HS","b"
"GR","GR","b"
"DR","DR","b"
"CW","CW","b"
"A7","A7","b"
"AC","AC","b"
"A6","A6","b"
"A5","A5","b"
"A4","A4","b"
"9P","9P","b"
"7P","7P","b"
"4P","4P","b"
"3P","3P","b"
"2P","2P","b"
"SE","SE","b"
"V1","V1","b"
"V2","V2","b"
"X5","X5","b"
"X6","X6","b"
"X7","X7","b"
"X8","X8","b"
"X9","X9","b"
